delivery_id,order_id,delivery_status,delivery_time,rider_id
D1,O1,Delivered,17:54:00,RD140
D2,O3,Delivered,19:43:00,RD17
D3,O4,Delivered,14:28:00,RD177
D4,O5,Delivered,18:15:00,RD91
D5,O6,Delivered,19:32:00,RD55
D6,O7,Delivered,21:23:00,RD209
D7,O8,Delivered,13:31:00,RD239
D8,O9,Delivered,12:04:00,RD65
D9,O10,Delivered,19:15:00,RD12
D10,O11,Delivered,22:27:00,RD242
D11,O13,Delivered,20:54:00,RD23
D12,O14,Delivered,17:24:00,RD201
D13,O15,Delivered,18:45:00,RD147
D14,O16,Delivered,13:12:00,RD182
D15,O17,Delivered,19:09:00,RD213
D16,O18,Delivered,17:39:00,RD56
D17,O19,Delivered,20:05:00,RD26
D18,O20,Delivered,17:16:00,RD190
D19,O21,Delivered,20:39:00,RD74
D20,O22,Delivered,17:32:00,RD48
D21,O23,Delivered,17:24:00,RD239
D22,O24,Delivered,18:21:00,RD140
D23,O25,Delivered,12:26:00,RD133
D24,O26,Delivered,14:46:00,RD34
D25,O27,Delivered,16:53:00,RD135
D26,O28,Delivered,22:09:00,RD44
D27,O29,Delivered,20:42:00,RD48
D28,O30,Delivered,19:30:00,RD63
D29,O31,Delivered,20:00:00,RD155
D30,O32,Delivered,13:09:00,RD218
D31,O33,Delivered,12:46:00,RD151
D32,O36,Delivered,21:12:00,RD239
D33,O37,Delivered,16:11:00,RD82
D34,O38,Delivered,21:06:00,RD11
D35,O39,Delivered,16:05:00,RD112
D36,O40,Delivered,22:02:00,RD93
D37,O41,Delivered,18:02:00,RD243
D38,O42,Delivered,12:06:00,RD13
D39,O43,Delivered,20:58:00,RD238
D40,O45,Delivered,20:17:00,RD37
D41,O46,Delivered,13:28:00,RD177
D42,O47,Delivered,14:30:00,RD125
D43,O48,Delivered,10:53:00,RD41
D44,O49,Delivered,15:29:00,RD35
D45,O50,Delivered,16:03:00,RD145
D46,O52,Delivered,15:51:00,RD58
D47,O54,Delivered,19:17:00,RD208
D48,O55,Delivered,15:56:00,RD219
D49,O57,Delivered,13:06:00,RD135
D50,O58,Delivered,18:01:00,RD161
D51,O59,Delivered,15:21:00,RD210
D52,O60,Delivered,12:09:00,RD13
D53,O61,Delivered,14:28:00,RD132
D54,O62,Delivered,20:03:00,RD43
D55,O63,Delivered,17:51:00,RD222
D56,O64,Delivered,10:59:00,RD157
D57,O65,Delivered,15:09:00,RD77
D58,O66,Delivered,11:41:00,RD86
D59,O67,Delivered,17:40:00,RD78
D60,O68,Delivered,22:17:00,RD93
